Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

U15        DIP-4                119.38mm       87.63mm      119.38mm       87.63mm      123.19mm       86.36mm  T        180.00 Optoisolator1  
U12        DIP-4                119.38mm       99.06mm      119.38mm       99.06mm      115.57mm      100.33mm  T        360.00 Optoisolator1  
U14        DIP-4                119.38mm      93.345mm      119.38mm      93.345mm      123.19mm      92.075mm  T        180.00 Optoisolator1  
U4         SOIC8                119.38mm     130.175mm      119.38mm     130.175mm      116.98mm      132.08mm  T        360.00 HCPL0631       
U3         SOIC8                119.38mm     136.525mm      119.38mm     136.525mm      116.98mm      138.43mm  T        360.00 HCPL0631       
R101       RES0805             161.925mm      57.277mm     161.925mm      57.277mm     160.875mm      57.277mm  T        360.00 RES0805 3K3 1% 
R57        RES0805             38.7349mm      76.835mm     38.7349mm      76.835mm      37.685mm      76.835mm  T        360.00 RES0805 10K 1% 
R60        RES0805             38.7349mm      74.295mm     38.7349mm      74.295mm      37.685mm      74.295mm  T        360.00 RES0805 10K 1% 
R67        RES0805             38.7349mm      71.755mm     38.7349mm      71.755mm      37.685mm      71.755mm  T        360.00 RES0805 10K 1% 
R68        RES0805             38.7349mm      69.215mm     38.7349mm      69.215mm      37.685mm      69.215mm  T        360.00 RES0805 10K 1% 
R78        RES0805             38.7349mm      64.135mm     38.7349mm      64.135mm      37.685mm      64.135mm  T        360.00 RES0805 10K 1% 
R74        RES0805             38.7349mm      66.675mm     38.7349mm      66.675mm      37.685mm      66.675mm  T        360.00 RES0805 10K 1% 
R30        RES0805             112.395mm     109.855mm     112.395mm     109.855mm     111.345mm     109.855mm  T        360.00 RES0805 330R 1%
R26        RES0805             112.395mm      113.03mm     112.395mm      113.03mm     111.345mm      113.03mm  T        360.00 RES0805 330R 1%
R31        RES0805             126.365mm     108.585mm     126.365mm     108.585mm     125.315mm     108.585mm  T        360.00 RES0805 510R 1%
R29        RES0805             126.365mm     111.125mm     126.365mm     111.125mm     125.315mm     111.125mm  T        360.00 RES0805 510R 1%
R105       RES0805             163.195mm      44.831mm     163.195mm      44.831mm     164.245mm      44.831mm  T        180.00 RES0805 10K 1% 
R35        RES0805             112.395mm      104.14mm     112.395mm      104.14mm     113.445mm      104.14mm  T        180.00 RES0805 510R 1%
R104       RES0805             163.195mm       46.99mm     163.195mm       46.99mm     164.245mm       46.99mm  T        180.00 RES0805 10K 1% 
R37        RES0805             126.365mm      102.87mm     126.365mm      102.87mm     125.315mm      102.87mm  T        360.00 RES0805 470R 1%
R121       RES0805             163.195mm      38.735mm     163.195mm      38.735mm     164.245mm      38.735mm  T        180.00 RES0805 10K 1% 
R130       RES0805             163.195mm      36.576mm     163.195mm      36.576mm     164.245mm      36.576mm  T        180.00 RES0805 10K 1% 
R28        RES0805                76.2mm     116.205mm        76.2mm     116.205mm       77.25mm     116.205mm  T        180.00 RES0805 4K7 1% 
R6         RES0805              53.975mm      130.81mm      53.975mm      130.81mm      55.025mm      130.81mm  T        180.00 RES0805 510R 1%
R7         RES0805              53.975mm      133.35mm      53.975mm      133.35mm      55.025mm      133.35mm  T        180.00 RES0805 510R 1%
R8         RES0805              53.975mm      135.89mm      53.975mm      135.89mm      55.025mm      135.89mm  T        180.00 RES0805 510R 1%
