Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

D16        DO-41                 72.04mm       41.16mm       72.04mm       41.16mm       66.81mm       41.16mm  T        360.00 Diode 1N4007   
K1         G5LA                 49.815mm       27.94mm      49.815mm       20.84mm      49.815mm       20.84mm  T         90.00 Relay 1 pole   
K2         G5LA                 70.135mm       27.94mm      70.135mm       20.84mm      70.135mm       20.84mm  T         90.00 Relay 1 pole   
LED7       LED_0603              40.29mm       22.11mm       40.29mm       22.11mm       40.29mm       22.86mm  T        270.00 LED 0603       
LED8       LED_0603             61.245mm       22.11mm      61.245mm       22.11mm      61.245mm       22.86mm  T        270.00 LED 0603       
P2         Header_3_latch      105.695mm     144.665mm     105.695mm     144.665mm     108.235mm     144.665mm  T        180.00 Header 3 Latch 
P1         Header_3_latch       94.265mm     144.665mm      94.265mm     144.665mm      96.805mm     144.665mm  T        180.00 Header 3 Latch 
Q28        SOT23                 39.02mm      26.555mm       39.02mm      26.555mm       37.82mm      27.505mm  T        360.00 BC847          
Q23        SOT23                 39.02mm      39.255mm       39.02mm      39.255mm       38.07mm      38.055mm  T         90.00 BC847          
Q27        SOT23                59.975mm       27.19mm      59.975mm       27.19mm      58.775mm       28.14mm  T        360.00 BC847          
Q24        SOT23                59.975mm       38.62mm      59.975mm       38.62mm      59.025mm       37.42mm  T         90.00 BC847          
R12        RES1206              106.33mm      140.22mm      106.33mm      140.22mm     104.905mm      140.22mm  T        360.00 ChipRes        
R136       RES1206               37.75mm       22.11mm       37.75mm       22.11mm       37.75mm      20.685mm  T         90.00 ChipRes        
R132       RES1206               37.75mm      31.635mm       37.75mm      31.635mm       37.75mm       33.06mm  T        270.00 ChipRes        
R110       RES1206             61.8792mm      48.145mm     61.8792mm      48.145mm     61.8792mm       49.57mm  T        270.00 ChipRes        
R11        RES1206                94.9mm      140.22mm        94.9mm      140.22mm      93.475mm      140.22mm  T        360.00 ChipRes        
R91        RES1206               61.88mm      63.131mm       61.88mm      63.131mm       61.88mm      61.706mm  T         90.00 ChipRes        
R135       RES1206              58.705mm      22.745mm      58.705mm      22.745mm      58.705mm       21.32mm  T         90.00 ChipRes        
R131       RES1206              58.705mm       32.27mm      58.705mm       32.27mm      58.705mm      33.695mm  T        270.00 ChipRes        
R89        RES1206             47.9092mm      63.385mm     47.9092mm      63.385mm     47.9092mm       61.96mm  T         90.00 ChipRes        
R111       RES1206             67.5942mm      48.145mm     67.5942mm      48.145mm     67.5942mm       49.57mm  T        270.00 ChipRes        
